ax,ay,az,gx,gy,gz
-0.988770,0.016357,0.188232,-5.114504,-1.312977,0.083969
-0.985107,0.018799,0.193604,-5.122138,-1.106870,0.076336
-0.980469,0.019531,0.198975,-6.870229,-1.221374,0.259542
-0.994873,0.024170,0.201660,-7.129771,-1.801527,0.129771
-0.986328,0.017090,0.194092,-6.160306,-0.854962,-0.137405
-0.990234,0.016357,0.186768,-5.404580,0.053435,-0.053435
-0.990967,0.024902,0.194580,-5.687023,0.000000,-0.015267
-0.982666,0.024902,0.197754,-5.297710,-0.030534,0.091603
-0.992432,0.020020,0.188721,-4.877862,0.763359,-0.114504
-0.990479,0.020020,0.191406,-4.755725,1.099237,-0.038168
-0.993408,0.020020,0.191406,-4.755725,0.763359,-0.076336
-0.987305,0.012695,0.192139,-5.022901,0.854962,0.030534
-0.990967,0.021484,0.185791,-5.038168,0.496183,-0.015267
-0.984863,0.020508,0.189453,-4.946565,-0.274809,-0.068702
-0.980713,0.027344,0.183350,-4.923664,-0.404580,-0.152672
-0.986084,0.021484,0.194824,-5.038168,-0.412214,0.129771
-0.986084,0.017090,0.194092,-5.099236,-0.335878,0.022901
-0.980469,0.026123,0.193359,-5.007634,-0.022901,0.083969
-0.985840,0.025391,0.200684,-4.908397,-0.015267,-0.190840
-0.989990,0.020020,0.205322,-4.488550,-0.061069,-0.190840
-0.987549,0.017090,0.207764,-4.068702,0.885496,-0.259542
-0.998047,0.020020,0.183105,-5.236641,-1.541985,0.053435
-0.993408,0.027100,0.198486,-5.534351,-4.587786,0.083969
-0.993408,0.021973,0.184814,-5.648855,-7.572519,0.190840
-0.982910,0.035889,0.176270,-10.610687,-13.809160,0.870229
-0.981934,0.022949,0.216553,-9.396947,-15.580153,0.824427
-0.987793,0.022461,0.207275,-8.763359,-18.770992,0.923664
-0.990967,0.020508,0.211914,-6.740458,-24.366413,0.648855
-0.991211,0.017578,0.216553,-4.793893,-33.038166,0.625954
-0.985840,0.020996,0.236084,-6.206107,-40.297710,1.106870
-0.978027,0.010010,0.282959,-7.572519,-47.748093,1.358779
-0.995117,0.028320,0.283691,-8.748092,-58.015266,1.702290
-0.983154,0.019531,0.291260,-10.923664,-73.450378,2.351145
-0.960938,0.002930,0.309570,-11.198473,-92.030533,3.160305
-0.928955,0.032471,0.356934,-10.923664,-108.358780,3.015267
-0.911377,0.027344,0.439453,-8.435115,-111.954200,2.038168
-0.889893,0.031738,0.489258,-10.320611,-118.687020,2.511450
-0.866211,0.031982,0.551758,-10.763359,-125.969470,2.374046
-0.899902,-0.037598,0.554932,-7.496183,-120.549620,3.076336
-0.815674,0.003906,0.665283,-5.305344,-125.427480,0.137405
-0.781006,0.054932,0.698730,-4.580153,-141.709930,-0.152672
-0.711426,0.010986,0.774414,-5.221374,-146.129780,-0.236641
-0.646729,0.032715,0.803955,-0.366412,-141.328250,-6.152672
-0.610352,0.015869,0.854980,-1.954198,-140.618320,-4.404580
-0.495850,0.020020,0.952393,-4.045802,-132.931300,-2.190840
-0.515869,0.020996,0.967529,-5.465649,-118.946560,-0.961832
-0.454590,0.014160,0.985596,-6.473282,-102.419850,0.290076
-0.444824,-0.026123,1.006592,-5.236641,-92.152672,-0.778626
-0.379150,0.003906,1.025635,-4.633588,-84.015266,-2.519084
-0.343262,0.020020,1.021729,-3.938931,-90.091606,-4.816794
-0.275391,-0.022705,1.065674,-2.488550,-95.160309,-10.091603
-0.285889,0.005127,1.071533,-5.572519,-72.160309,-2.198473
-0.259277,0.022705,1.081055,-5.129771,-58.122139,-1.793893
-0.184814,-0.000977,1.038086,-3.221374,-59.183205,-9.862596
-0.135498,0.008057,1.081543,-4.419847,-63.488548,-11.290076
-0.201172,0.028320,1.110107,-4.717557,-48.114502,-9.687023
-0.184326,0.001221,1.161865,-3.122137,-27.862595,-11.893129
-0.130615,0.067383,1.171875,-3.022901,-27.526718,-8.488549
0.033936,0.014404,0.846680,-8.137404,-37.389313,-12.534351
-0.059814,-0.027344,0.937744,-1.290076,-50.625954,-16.450382
-0.099121,0.069092,1.147705,-2.732824,-41.702290,-14.839695
-0.094727,0.081543,1.013916,-8.763359,-37.427483,-6.618320
-0.075195,0.000977,1.013672,-4.816794,-37.442749,-8.145039
-0.135010,0.065430,1.150635,-7.320611,-36.488548,-8.251908
-0.050293,0.014648,1.200684,-4.053435,-22.183207,-6.511450
-0.076660,0.045410,1.125000,-3.557252,-16.725191,-6.320611
-0.027100,0.009521,1.134766,-4.511450,-17.725191,-8.404580
-0.037598,0.049072,1.114258,-5.145038,-21.259542,-9.099236
-0.035645,0.078369,1.119385,-5.465649,-21.671755,-9.404580
-0.024902,0.043701,1.108154,-5.503817,-17.351145,-6.267176
0.012207,0.053467,1.142822,-4.717557,-12.717557,-4.122138
0.029785,0.031250,1.123291,-4.893130,0.648855,0.267176
0.045898,0.032959,1.097900,-5.122138,-3.000000,-2.221374
0.016846,0.010986,1.116699,-5.381680,-3.381679,-2.297710
0.031494,0.011719,1.104492,-5.725191,-2.366412,-1.022901
0.020752,0.019531,1.110596,-5.580153,-5.778626,0.114504
0.034668,0.016357,1.109375,-5.496183,-4.977099,1.061069
0.070313,-0.000244,1.109375,-1.900763,-0.358779,-0.175573
0.039307,0.017090,1.132324,-5.244275,1.534351,0.160305
0.031250,0.014160,1.114258,-4.687023,0.427481,0.022901
0.047607,0.022217,1.115967,-4.763359,0.488550,-0.076336
0.038574,0.021484,1.104004,-4.549618,0.038168,-0.213740
0.024414,0.015137,1.112061,-4.694656,0.534351,-0.137405
0.033203,0.014160,1.109619,-4.770992,0.694656,-0.213740
0.037109,0.015625,1.106445,-4.480916,0.229008,0.015267
0.032471,0.019287,1.108643,-4.519084,0.351145,-0.053435
0.031982,0.017090,1.114990,-4.572519,0.190840,-0.190840
0.035889,0.013672,1.109863,-4.633588,0.480916,-0.167939
0.031738,0.019043,1.104736,-4.839694,0.725191,-0.083969
0.038574,0.015625,1.104004,-4.557252,0.358779,-0.015267
0.035400,0.018555,1.110107,-4.175572,-0.442748,-0.122137
0.039795,0.011230,1.110352,-4.374046,0.183206,-0.167939
0.032471,0.012207,1.106445,-4.305344,-0.022901,-0.007634
0.039795,0.018555,1.110352,-4.664122,0.259542,-0.114504
0.034180,0.020508,1.103271,-4.702290,0.473282,-0.091603
0.032959,0.006836,1.109375,-4.778626,0.595420,0.038168
0.034912,0.024170,1.105713,-4.839694,0.366412,0.137405
0.030762,0.013916,1.108398,-4.732824,0.679389,-0.038168
0.034180,0.019775,1.096924,-4.633588,0.633588,0.015267
0.034912,0.011475,1.109131,-4.908397,0.564885,0.114504
