ax,ay,az,gx,gy,gz
-0.051270,-0.026855,1.096191,-5.671756,0.381679,-0.801527
-0.050537,-0.027100,1.083252,-5.717557,0.274809,-0.946565
-0.050049,-0.017578,1.082520,-4.801527,0.984733,-0.328244
-0.060791,-0.029297,1.095459,-5.083970,0.053435,-0.106870
-0.049805,-0.026123,1.083252,-4.984733,0.038168,-0.007634
-0.054932,-0.016602,1.092773,-5.122138,-0.076336,-0.114504
-0.046631,-0.027344,1.082764,-5.007634,-0.267176,-0.175573
-0.054932,-0.030762,1.088135,-5.091603,-0.091603,-0.343511
-0.052734,-0.015869,1.091553,-4.030534,0.267176,-0.198473
-0.058350,-0.017822,1.082031,-6.236641,-0.725191,-0.702290
-0.055908,-0.028564,1.085449,-5.412214,-0.137405,0.015267
-0.048096,-0.022461,1.089355,-4.778626,0.129771,-0.053435
-0.047363,-0.017334,1.088623,-5.282443,-0.190840,-0.549618
-0.062012,-0.018311,1.099365,-4.610687,-0.175573,0.145038
-0.052002,-0.028564,1.090820,-4.801527,0.610687,0.954198
-0.053711,-0.033936,1.086670,-5.351145,0.541985,0.992366
-0.057129,-0.024658,1.097656,-6.870229,-0.381679,0.274809
-0.066162,-0.014648,1.074463,-8.206107,-0.167939,-0.099237
-0.074951,-0.011719,1.085693,-12.694656,-1.030534,-0.435115
-0.067139,0.001221,1.062500,-11.916031,-1.748092,-1.152672
-0.065674,-0.035645,1.077881,-11.732824,-3.885496,-1.969466
-0.064941,-0.031738,1.088379,-9.427481,2.320611,0.442748
-0.064941,-0.051514,1.097412,-5.282443,2.740458,1.190840
-0.056152,-0.055176,1.083740,-5.267176,0.938931,0.625954
-0.030273,-0.057617,1.087891,-8.328244,0.816794,0.580153
-0.067871,-0.049805,1.088379,-4.045802,1.564885,0.740458
-0.082520,-0.048340,1.087402,-3.702290,1.702290,0.473282
-0.083984,-0.040039,1.079834,-4.618320,-0.068702,-0.038168
-0.099121,-0.041504,1.077881,-8.259542,-0.557252,-1.740458
-0.093994,-0.047852,1.107178,-7.160306,0.198473,-4.480916
-0.063965,0.015381,1.098389,-6.916030,2.503817,-4.603054
