ax,newAx,lin_ax,new_lin_ax
1.0188,0.0292,0.1546,-0.0233
1.0044,0.0638,0.1883,0.0299
1.0176,0.0335,0.1573,-0.0213
1.0134,0.0607,0.1837,0.0277
1.0129,0.0359,0.1582,-0.0192
1.0127,0.0585,0.1799,0.0254
1.0132,0.0380,0.1587,-0.0171
1.0144,0.0567,0.1767,0.0232
1.0127,0.0395,0.1587,-0.0151
1.0125,0.0552,0.1736,0.0211
1.0127,0.0410,0.1586,-0.0132
1.0183,0.0544,0.1713,0.0192
1.0068,0.0411,0.1573,-0.0115
1.0161,0.0540,0.1693,0.0175
1.0059,0.0414,0.1559,-0.0101
1.0037,0.0527,0.1664,0.0160
1.0132,0.0432,0.1562,-0.0087
1.0093,0.0515,0.1637,0.0144
1.0100,0.0440,0.1555,-0.0073
1.0105,0.0509,0.1615,0.0130
1.0161,0.0452,0.1550,-0.0061
1.0095,0.0498,0.1588,0.0116
1.0125,0.0458,0.1541,-0.0049
1.0139,0.0495,0.1570,0.0104
1.0183,0.0466,0.1533,-0.0039
1.0168,0.0491,0.1551,0.0093
1.0117,0.0463,0.1515,-0.0030
1.0132,0.0490,0.1534,0.0083
1.0183,0.0470,0.1506,-0.0022
1.0127,0.0483,0.1511,0.0074
1.0166,0.0475,0.1495,-0.0015
1.0120,0.0478,0.1490,0.0066
1.0156,0.0479,0.1483,-0.0009
1.0115,0.0475,0.1471,0.0058
1.0188,0.0485,0.1473,-0.0002
1.0142,0.0471,0.1452,0.0051
1.0217,0.0491,0.0000,0.0003
1.0078,0.0461,0.1425,0.0043
1.0137,0.0493,0.0000,0.0009
1.0076,0.0458,0.1407,0.0036
1.0134,0.0495,0.0000,0.0014
1.0115,0.0460,0.1392,0.0030
1.0093,0.0490,0.1415,0.0018
1.0195,0.0472,0.1389,0.0027
1.0083,0.0478,0.1387,0.0018
1.0107,0.0474,0.1376,0.0025
1.0068,0.0474,0.1368,0.0018
1.0186,0.0485,0.1370,0.0024
1.0115,0.0469,0.0000,0.0017
1.0071,0.0480,0.1349,0.0024
1.0156,0.0478,0.0000,0.0016
1.0117,0.0476,0.1329,0.0022
1.0159,0.0481,0.0000,0.0017
1.0078,0.0469,0.1307,0.0020
1.0164,0.0488,0.1317,0.0018
1.0149,0.0469,0.1291,0.0018
1.0117,0.0483,0.1297,0.0018
1.0115,0.0471,0.0000,0.0016
1.0142,0.0485,0.1282,0.0019
1.0120,0.0470,0.0000,0.0014
1.0129,0.0484,0.1266,0.0019
1.0181,0.0476,0.0000,0.0013
1.0071,0.0473,0.1240,0.0017
1.0149,0.0483,0.0000,0.0014
1.0142,0.0474,0.0000,0.0016
1.0198,0.0487,0.0000,0.0014
1.0164,0.0472,0.0000,0.0013
1.0173,0.0486,0.0000,0.0015
1.0110,0.0467,0.0000,0.0011
1.0129,0.0486,0.0000,0.0015
1.0215,0.0477,0.0000,0.0010
1.0100,0.0475,0.0000,0.0014
1.0205,0.0486,0.0000,0.0011
1.0117,0.0468,0.0000,0.0011
1.0112,0.0484,0.0000,0.0011
1.0159,0.0474,0.0000,0.0010
1.0103,0.0478,0.0000,0.0011
1.0046,0.0469,0.0000,0.0008
1.0100,0.0482,0.0000,0.0011
1.0088,0.0469,0.0000,0.0007
1.0146,0.0486,0.0000,0.0012
1.0083,0.0465,0.0000,0.0005
1.0156,0.0491,0.0000,0.0013
1.0100,0.0462,0.0000,0.0002
1.0112,0.0489,0.0000,0.0013
1.0100,0.0464,0.1047,-0.0000
1.0083,0.0486,0.0000,0.0013
1.0164,0.0473,0.1041,-0.0001
1.0122,0.0481,0.0000,0.0012
1.0173,0.0478,0.1030,-0.0001
1.0159,0.0479,0.0000,0.0010
1.0022,0.0466,0.1002,-0.0001
1.0139,0.0488,0.0000,0.0011
1.0100,0.0464,0.0984,-0.0003
1.0117,0.0488,0.0000,0.0011
1.0103,0.0465,0.0969,-0.0005
1.0081,0.0484,0.0000,0.0010
1.0149,0.0473,0.0961,-0.0005
1.0083,0.0477,0.0000,0.0009
1.0105,0.0475,0.0948,-0.0005
1.0076,0.0474,0.0000,0.0007
1.0222,0.0488,0.0945,-0.0003
1.0081,0.0463,0.0000,0.0003
1.0164,0.0494,0.0934,-0.0001
1.0149,0.0464,0.0897,-0.0001
1.0105,0.0487,0.0000,0.0001
1.0156,0.0471,0.0888,-0.0003
1.0168,0.0487,0.0000,0.0001
1.0122,0.0468,0.0869,-0.0005
